DESCRIPTION,CATEGORY
Супер Детокс / Super Detoks,Продукты питания и напитки
Венец маховика HYNDAI HD 65,Прочие товары
 Мяч футбольный,Прочие товары
Кондиционер MIDEA MSAG-07 HRN8 (инст),Оборудование и инструмент
OSB 3 нешлифованная 2500*1250*9 мм,Прочие товары
ГУБКА Ф.БОК МАКС 5ШТ,Бытовая химия и хозтовары
HE2302 Футболка муж.,Одежда и текстиль
Аренда грузовых автомобилей за февраль 2025 года,Аренда оборудования и прочая аренда
"211404 ЭЛ Масло для восстановления ослабленных и секущихся волос, 150 мл",Продукты питания и напитки
IC3129 Майка дет. спорт.,Прочие товары
180505 подшипник,Автозапчасти и сервис авто
"ЭЛЕМЕНТ ФГОТ (ЕВРО 2)  PL 270  В СБОРЕ С ОТСТОЙНИКОМ ""АВТОМАГНАТ""",Прочие товары
Напиток Schweppes Польша 330мл (Цитрус Микс),Продукты питания и напитки
Мед. реабилитация и восстановительное лечение 4-хмест Complex Кенжебекова Айтжамал Шариппаевна ,Прочие услуги
КОНФЕТЫ СЛАДОНЕЖ ОРЕХ ОРЕХОВИЧ ВЕС,Продукты питания и напитки
КОЛБАСА СПК 260ГР САЛЯМИ РУССКАЯ,Продукты питания и напитки
452.5205400Р (ПРАМО) Трапеция стеклоочистителя УАЗ,Прочие товары
Изопропиловый спирт,Прочие товары
(МП)В/выт. Miele DAS8630,Прочие товары
"Головка переходная напорная ГП-50 х 65-1,6 ПМ",Прочие товары
САРДЕЛЬКИ СД ЕВРАЗ ВЕС 104708,Продукты питания и напитки
ЕЖЕДНЕВКИ KOTEX 48ШТ ЭКСТРАТОНКИЕ,Бытовая химия и хозтовары
"738.3747-30 Реле стартера (35.3787-30) (замыкающее 5-ти контактное с кронштейном) (50А 12В) для а/м МТЗ, ПАЗ 32053 Евро 4, с/х и строительная техника (ЭМИ)",Оборудование и инструмент
Мар.Мишутка вес,Прочие товары
ВЕНОЗОЛ 0.5г N60 капс,Лекарства
ЭДАРБИ 40мг N28 таб,Лекарства
Мезим форте 3500 ЕД №20 табл,Лекарства
ДУШ-ГЕЛЬ PALMOLIVE АРОМА ТВОЕ РАССЛАБЛЕНИЕ 250МЛ,Лекарства
H31447 Футболка муж.,Одежда и текстиль
МОРОЖНОЕ СНИКЕРС ЭСКИМО 65ГР,Продукты питания и напитки
911 ХОНДРОИТИН ГЕЛЬ-БАЛЬЗАМ 100мл ДЛЯ СУСТАВОВ,Бытовая химия и хозтовары
Сварочный электрод Ø 2мм. 015 ,Прочие товары
"ФИЛЬТР-СЕТКА ДЛЯ МОДУЛЕЙ ДЛЯ ТОПЛ. НАСОСОВ ЭЛЕКТР.: 21073-1139009, 21313-1139009, 21214-1139009",Оборудование и инструмент
IL6075 Куртка дет. спорт.,Продукты питания и напитки
Соль-пена д/ванн морская Масло лаванды 480гр (Фитокосметик/Россия),Продукты питания и напитки
КРЕМ ДЛЯ ОБУВИ SALTON 75МЛ ЧЕРНЫЙ С НОРКОВЫМ МАСЛО,Продукты питания и напитки
"Cliny Подгузники 1-2,5 кг размер XXS (12 шт) К213",Детские товары / гигиена
ARIEL РУЧНАЯ СТИРКА ГОРНЫЙ РОДНИК 450ГР,Прочие товары
"Satyr Sauvignon Blanc белое сухое 0,75",Прочие товары
"Монтаж/демонтаж постеров в метро,  Алматы,  Сентябрь 2024 MID",Прочие услуги
ПОДГУЗНИКИ WATASHI 4/L 7-14КГ 46ШТ JAMBO-PACK,Детские товары / гигиена
Прокладкака выпускного коллектора крайняя 245-1008026,Бытовая химия и хозтовары
ЧАЙ GREENFIELD 100ГР ЗЕЛЕНЫЙ FLYING DRAGON,Продукты питания и напитки
SOLOMEYA ПИЛКА ПЕДИКЮРНАЯ С МИКРОМАССАЖЕМ РОЗОВЫЙ КВАРЦ,Прочие товары
КЕКС SWISS BAKERY 400ГР ТАТЬЯНИН С ИЗЮМОМ,Прочие товары
"Картридж механической очистки PP 10"" (5 мкр)",Офисная техника и расходники
КОЛГОТКИ ТЭГАМ ЖЕН ХЛОПОК ЛАЙКРА,Прочие товары
Кузовные сварочные работы,Автозапчасти и сервис авто
5306856 Подвеска (Ag 925),Ювелирные изделия и аксессуары
GW0401 Кроссовки дет. спорт.,Обувь и средства индивидуальной защиты (СИЗ)
ЦЕНТРОБЕЖНЫЙ НАСОС NEPO 50-32-160,Оборудование и инструмент
"Т-образный ответвитель 600*600*600*80*1,2 мм",Прочие товары
ПОДУШЕЧКИ NESGUIK BANANA CRUSH 220гр,Прочие товары
Вкладыши коренные стандарт Газ-330273,Прочие товары
 Приобретение сценического костюма мальчика «Белес»,Одежда и текстиль
Фонарь задний 7452.3716,Прочие товары
"Печать постеров, Сениор,  Астана,  Май 2023",Рекламные и маркетинговые услуги
Рация TYT TH-UV99,Прочие товары
Универсальное моющее ср-во ABC 810гр 1/12 F-32  Чёрный,Автозапчасти и сервис авто
"Ткань 89 мм, Атлас, код GV-110-01",Прочие товары
ТОМАТНАЯ ПАСТА ПОМИДОРО 710ГР,Продукты питания и напитки
Устройство развязки аккумуляторов УРА 400-01,Прочие товары
НАЗАКСИЛ 0.05% 10мл капли наз,Лекарства
КРС ж.вес 7 голов,Прочие товары
СЫР OLDENBURGER 125гр С ГРЕЦКИМ ОРЕХОМ НАРЕЗКА,Продукты питания и напитки
"Бумага ""Снегурочка"" А4",Канцтовары и упаковка
